,wikidata,bathwateridentifier,status,eionet,euType,euMotive,NotEuMotive,link,WD
93,Q106707174,SE0A21480000000392,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0A21480000000392,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0A21480000000392'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106707174'>link WD</a>
94,Q106707173,SE0A21480000000390,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0A21480000000390,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0A21480000000390'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106707173'>link WD</a>
95,Q106707178,SE0A21481000000397,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0A21481000000397,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0A21481000000397'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106707178'>link WD</a>
96,Q106707176,SE0A21481000000395,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0A21481000000395,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0A21481000000395'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106707176'>link WD</a>
97,Q106707179,SE0A21481000000398,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0A21481000000398,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0A21481000000398'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106707179'>link WD</a>
98,Q106707177,SE0A21481000000396,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0A21481000000396,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0A21481000000396'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106707177'>link WD</a>
99,Q10715268,SE0441283000000316,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441283000000316,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0441283000000316'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q10715268'>link WD</a>
101,Q106706927,SE0930840000000016,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0930840000000016,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0930840000000016'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106706927'>link WD</a>
103,Q106706930,SE0930840000000020,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0930840000000020,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0930840000000020'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106706930'>link WD</a>
104,Q106706929,SE0930840000000018,200,https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0930840000000018,,,,<a href='https://dd.eionet.europa.eu/vocabularyconcept/wise/WFDProtectedArea/euProtectedAreaCode.SE0930840000000018'>link eionet</a>,<a href='https://www.wikidata.org/wiki/Q106706929'>link WD</a>
